,id,image,ing,prediction
526,0f4ab0c128,0018c22a54.jpg,"rice,uncooked,boneless beef sirloin steak,strips Foods thru,KRAFT RECIPE MAKERS Sweet Sour Chicken,green beans,thawed,red peppers,strips,sauce",<start> red bell peppers red bell pepper strips green bell pepper strips red bell pepper strips green bell pepper strips green bell pepper strips red bell pepper strips green bell pepper strips red bell pepper strips green bell pepper strips red bell pepper strips green bell pepper strips <end>
575,1057e94696,0f6f721436.jpg,"pounds Beef Chuck Roast,envelope Onion Soup Mix,Garlic Powder,Beef Broth,pounds Baby Carrots,cubes Potatoes,Water",<start> pounds beef chuck roast salt ground black pepper taste olive oil onion chopped cloves garlic minced olive oil <end>
615,11ba5a6ba9,0b1771e2d6.jpg,"gr bread flour,gr plain flour,gr instant dry yeast,gr water,gr sugar,gr salt,gr milk,gr,gr bread improver,gr milk powder,gr egg",<start> baking powder baking soda salt egg milk butter melted <end>
640,129b5dd5c0,0c8e3a278f.jpg,"slices bacon,garlic cloves,dried rosemary,boneless pork loin",<start> baking soda salt butter softened brown packed egg vanilla extract chocolate chips <end>
654,1308ddc699,0251d4e982.jpg,"yogurt,lemon juice,ground cumin,ground cinnamon,cayenne pepper,freshly ground black pepper,minced ginger,salt,taste,boneless skinless chicken breasts,pieces,long skewers,butter,clove garlic,minced,jalapeno pepper,finely chopped,ground cumin,paprika,salt,taste,tomato sauce,heavy cream,chopped cilantro",<start> boneless skinless chicken breast halves salt ground black pepper ground black pepper vegetable oil onion chopped cloves garlic minced chicken broth chicken broth heavy cream <end>
655,130d89ebc5,07fc1e8c74.jpg,"cocoa,butter,sugar,milk,peanut butter,oatmeal,,chow mein noodles,shredded coconut,unsweetened,plain chocolate candies",<start> unsweetened cocoa powder baking soda baking powder salt butter softened eggs vanilla extract milk chocolate chips <end>
660,13180691a6,0a9df29869.jpg,"chuck roast,envelope powdered italian dressing,envelope powdered ranch dressing,envelope brown gravy,water,potatoes,baby carrots,onion",<start> boneless skinless chicken breast halves salt ground black pepper vegetable oil <end>
665,132c26259c,0d966af684.jpg,"head purple cabbage,carrots,peeled grated,red onion,peeled very finely sliced,malt vinegar,kosher salt,mayonnaise,Dijon mustard",<start> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <end>
671,1376d5deec,06ef621335.jpg,"pound unsalted butter,softened,sugar,flour,finely chopped walnuts,taste,sugar,as needed",<start> baking powder baking soda salt unsalted butter softened eggs vanilla extract sour cream vanilla extract <end>
803,17db971aa9,05f69802f8.jpg,"with pods Edamame,Sesame oil,Egg,flour,dash Salt pepper,Mayonnaise,dash Wasabi",<start> butter softened eggs vanilla extract baking soda salt baking soda baking powder <end>
828,1896e43b8b,0d8173ccbd.jpg,"cream cheese,softened,jar cocktail sauce,pound imitation crabmeat",<start> butter softened cream cheese softened vanilla extract <end>
841,1904c98475,0432f96d6f.jpg,"organic beef,trimmed fat cubed,olive oil,onion,peeled quartered,garlic cloves,peeled chopped finely,carrot,peeled chunks,tomatoes,dates,pitted but kept whole,prunes,pitted but kept whole,honey,pint beef stock,cinnamon stick,ras el hanout spice cumin powder,coriander powder,ginger,salt pepper,toasted almonds,coriander,chopped",<start> boneless skinless chicken breast halves olive oil onion diced garlic cloves minced minced ginger root peeled diced tomatoes peeled diced tomatoes diced tomatoes diced tomatoes undrained diced tomatoes undrained salt ground black pepper dried parsley flakes dried parsley flakes <end>
842,190615116f,00ae5394a5.jpg,"beer,bloody mary mix,bottled,absolut peppar vodka,salt",<start> apple peeled cored sliced apple peeled cored chopped apple cider vinegar lemon juice <end>
877,19c236ab05,00ddea7d6c.jpg,"wheat flour,flour,oats,firmly brown sugar,baking powder,salt,cinnamon,ground cloves,skim milk,eggs,applesauce,blueberries",<start> baking powder baking soda salt ground cinnamon ground nutmeg milk eggs vegetable oil <end>
883,19e5b6570f,047ad50dc2.jpg,"flour,sugar,yellow cornmeal,baking powder,salt,pinch cayenne pepper in,cream milk,eggs,slightly beaten,oil vegetable olive,melted butter,corn kernels,well drained",<start> butter softened brown eggs vanilla extract baking soda baking powder salt <end>
948,1c2e12489c,0ad5e8fa2b.jpg,"big brown onion,thinly,big granny smith apples,cored,butter,vinegar,cracked pepper,sugar",<start> olive oil boneless skinless chicken breasts pieces onion thinly sliced garlic cloves finely chopped salt pepper <end>
986,1d14d7f1d6,09615022a3.jpg,"Chicken Breast,Salt,Onion,Sunflower Oil,Red Peppers,pounds,ounces,weight Cheese,Like Cheddar,Thin Pita Breads,tablespoons,pinches Sour Cream,Cups,Forks,Ripe Avocados,Red Onion,cloves Garlic,Hot Chili Pepper,Lemon,Juiced,pinch Salt,tablespoons,teaspoon,pinches Sunflower Oil",<start> baking powder baking soda salt unsalted butter room temperature vanilla extract egg whites <end>
1002,1d9fdffba1,00786620c8.jpg,",whipping cream,unwhipped,caneagle brand sweetened condensed milk evaporated,jar maraschino cherries,well drained chopped,semisweet mini chocolate chips,vanilla extract,almond extract,red food coloring",<start> cream cheese softened butter softened vanilla extract eggs baking powder salt milk chocolate chips <end>
1025,1e98dd0b11,004f5b6679.jpg,"skinless chicken breasts,eggs,beaten,crushed Ritz cracker,garlic salt,pepper,butter",<start> baking soda salt ground cinnamon ground nutmeg butter softened eggs vanilla extract <end>
1036,1eef0fe76c,0d440773d9.jpg,"butter,softened,light brown sugar,packed,premium baking chocolate,such as El Rey store brand chips,worked fine,but I do grating,flour,baking powder,baking soda,kosher salt,granulated sugar,egg,slightly beaten,pure vanilla extract,preferably Madagascar Bourbon,macadamia nuts,coarsely chopped",<start> butter softened brown eggs vanilla extract baking soda salt ground cinnamon ground nutmeg <end>
1058,1fa374fb32,0e9870a55f.jpg,"thinly cucumbers,English,,salt,pepper,sugar slightly,soy sauce,rice wine vinegar,sesame oil,sesame seeds",<start> butter olive oil onion finely chopped garlic cloves minced salt pepper <end>
1075,1ff9470a84,0aa3fefc45.jpg,"graham cracker crumbs,butter margarine,melted,EAGLE BRAND Sweetened Condensed Milk,chocolate chips,chips,flaked coconut,chopped nuts",<start> pound lean ground beef chopped onion chopped green bell pepper chopped garlic cloves minced dried oregano dried oregano dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried marjoram black pepper <end>
1083,205157b7a7,082ddcc06e.jpg,"linguine,butter,melted,diced onions,minced garlic,shrimp,peeled deveined,,ground black pepper,grated parmesan cheese,sprigs parsley,slices lemons,garnish",<start> penne pasta olive oil garlic cloves minced shrimp peeled deveined shrimp peeled deveined shrimp peeled deveined salt pepper <end>
1110,21136f1ca1,0448d4219f.jpg,"butter,onions,diced,pounds flank steak,caraway seed,dried marjoram,clove garlic,minced,paprika,water,potatoes,peeled cubed,salt pepper",<start> olive oil onion chopped cloves garlic minced pound lean ground beef tomato sauce tomato sauce dried oregano dried basil dried oregano ground black pepper salt ground black pepper <end>
1116,213f0d1b3e,0a9e8b7a07.jpg,"salt,vinegar,oil,sugar,poppy seed,dry mustard,red onion,thinly,mushrooms,sliced,swiss cheese,grated,bacon,cooked crumbled,bunches spinach use a",<start> olive oil red wine vinegar dijon mustard salt ground black pepper <end>
1139,21e0c6f647,06289dec53.jpg,"Market Pantry Raw Peeled Deveined Shrimp,thawed,plain Greek yogurt,cayenne pepper sauce,plus serving,kosher salt freshly ground black pepper,Market Pantry Demi Wheat French Breads,in split crosswise,shredded romaine lettuce,tomatoes,thinly sliced,Market Pantry Hamburger Dill Pickle Ovals",<start> butter softened brown packed baking soda baking powder salt unsalted butter at room temperature egg yolk vanilla extract baking soda ground cinnamon ground nutmeg ground nutmeg ground nutmeg ground cinnamon ground nutmeg <end>
1141,21e3d4b817,0bdb413d69.jpg,"Flour,Castor Sugar,Cocoa Powder,Salt,ounces,weight Butter,Shredded Coconut,Condensed Milk,ounces,weight Butter,Cocoa Powder,Shredded Coconut,Icing Sugar,Vanilla Essence",<start> butter cocoa powder baking soda baking powder salt eggs beaten milk vanilla extract ounces weight chocolate chips ounces weight chocolate chips ounces weight chocolate chips ounces weight chocolate chips ounces weight chocolate chips ounces weight chocolate chips <end>
1199,23b5d84d19,082c259e6b.jpg,"shortening non dairy When using matzah meal,cold water cold vodka when not p preparing When using matzah meal use cold,Flour matzah cake meal,tsp baking powder kosher Passover baking powder,tsp salt",<start> baking soda baking powder salt unsalted butter melted eggs vanilla extract chocolate chips <end>
1223,246c721b0f,097ca6d2bf.jpg,"potatoes,slightly beaten eggs,flour,shredded carrot,green onion,tops white,thinly sliced,salt,garlic powder,pepper,applesauce",<start> chicken breasts salt pepper garlic powder onion powder ground black pepper salt <end>
1287,261b9ea1c7,0008101325.jpg,"chicken broth chicken stock,butter,garlic cloves,minced,shallot,minced,arborio rice,dry wine,tomato in oil,thinly sliced,parmesan cheese,grated,parsley,chopped,salt pepper,",<start> vegetable oil onion chopped cloves garlic minced chicken broth chicken broth chicken broth salt pepper <end>
1293,263ef5a9b4,0c65f39faa.jpg,"london broil beef,chopped squares,potatoes,peeled chopped squares,stewed tomatoes,onion,chopped,clove garlic,minced pressed,carrots,peeled,chopped,celery,chopped,kernel corn,peas,,broccoli,chopped,turnip,chopped,quarts water,pearl barley in dried bean section grocery,salt,black pepper,bay leaves,parsley,chopped,basil,oregano,to cornstarch,to cooking oil",<start> olive oil onion chopped garlic cloves minced dried thyme dried thyme ground black pepper ground cinnamon ground nutmeg ground allspice ground cardamom ground cardamom ground nutmeg <end>
1308,26b3eb0644,0a3aacabcc.jpg,"biscuit baking,milk,biscuit baking,milk,biscuit baking,milk,cinnamon sugar,butter,biscuit baking,milk,butter,vegetables tuna another meat filling your choice,onions,slices bacon,biscuit baking,milk,butter",<start> active dry yeast warm warm degrees degrees salt active dry yeast warm degrees degrees egg egg yolk <end>
1343,27bfcf5ec6,06dc424fc4.jpg,"grated onion,sugar,dry mustard,salt,raspberry vinegar,vegetable oil,poppy seeds",<start> olive oil red wine vinegar garlic clove minced lemon juice lemon juice <end>
1353,27ef05e5a8,0edd1fdfe5.jpg,"albacore tuna in water,drained flaked,chopped onions,celery ribs,chopped,green apple,cored chopped,thai green curry paste,chopped cilantro,mayonnaise,sour cream",<start> red wine vinegar olive oil kosher salt freshly ground black pepper <end>
1376,287f0d8cef,06b28403d5.jpg,"boneless pork chops,dried sage,dried marjoram,black pepper,salt,nonstick cooking spray,coarsely chopped onion,cloves garlic,minced,mushrooms,beef broth,sour cream,flour,Dijon mustard,hot cooked noodles,chopped parsley",<start> boneless skinless chicken breast halves salt black pepper taste vegetable oil onion chopped cloves garlic minced chicken broth chicken broth chicken broth heavy cream <end>
1391,28f3591b6a,0dd530fcf7.jpg,"up chicken veal chops rabbit,capers,rinsed drained,vinegar,water,butter,cubed scatter on chicken,oregano,salt pepper,cracked sicilian green olives a Bottle whack,sprigs parsley,cloves garlic,a lot it,sliced thinley",<start> boneless skinless chicken breast halves salt ground black pepper garlic powder onion powder ground black pepper garlic powder onion powder salt pepper <end>
1409,297190f0c2,00b84933c7.jpg,"red potatoes,garlic powder,butter,dash salt,dash pepper,sour cream,chopped chives",<start> butter onion chopped garlic cloves minced chicken stock salt pepper <end>
1439,2a005af668,0d8062720d.jpg,"cavatappi,uncooked,chopped asparagus,Queso Blanco VELVEETA,cubes,milk,Sour Cream,chopped chives",<start> penne pasta olive oil garlic cloves finely chopped lemon juice lemon juice lemon juice salt pepper <end>
1452,2a6009a34a,00242a9ceb.jpg,"sifted cake flour,baking powder,eggs,egg yolks,sugar,unsalted butter,melted,orange liqueur,unflavored gelatin,ripe mangoes,peeled,pitted,chopped,sugar,chilled whipping cream,chilled whipping cream,powdered sugar,orange liqueur,almonds,toasted,ripe mango,,peeled,pitted,sliced",<start> cream cheese softened butter softened eggs vanilla extract baking powder baking soda salt butter softened eggs vanilla extract heavy cream <end>
1467,2acf81e5b3,0cff135211.jpg,"semi sweet chocolate,chopped,heavy whipping cream,salted butter,sticks,sugar,tsp vanilla extract",<start> cocoa powder baking soda baking powder salt butter softened eggs vanilla extract <end>
1472,2ae1819d51,008660f885.jpg,"prawns,peeled deveined with tails intact,soy sauce tamari soy sauce,sherry wine shaoxing wine,lemon juice,minced ginger,garlic cloves,crushed,sesame seeds,skewers",<start> boneless skinless chicken breast halves salt baking powder baking soda ground cinnamon ground nutmeg butter softened brown firmly packed light brown firmly packed butter softened brown firmly packed butter softened brown firmly packed light brown firmly packed butter softened eggs vanilla extract <end>
1473,2ae48904cc,024340c193.jpg,"flour,rolled oats,brown sugar,baking powder,ground cinnamon,milk,egg,beaten,vegetable oil,blueberries",<start> unsweetened cocoa powder baking soda baking powder salt egg milk vanilla extract <end>
1480,2afd41309d,0a37d40964.jpg,"shallots,finely chopped,chicken,lemon juice,Dijon mustard,honey,parsley,coarsely chopped,kosher salt freshly ground black pepper,taste,extra virgin olive oil may use less,this a,porterhouse steaks,about each Any good quality,thick,tender,kosher salt freshly ground black pepper,",<start> boneless skinless chicken breast halves salt ground black pepper vegetable oil onion chopped cloves garlic minced dried rosemary dried thyme dried sage dried thyme dried sage dried thyme dried thyme salt ground black pepper <end>
1497,2b757832f3,0a58a58bf3.jpg,"boneless skinless chicken breast,zucchini yellow squash,slices,mushrooms,pepper,red,green yellow pepper,pieces,soy sauce,dry sherry,dark sesame oil,garlic cloves,minced,green onions,",<start> boneless skinless chicken breast halves salt black pepper <end>
1510,2bd162b9d4,0e5dd30597.jpg,"parts Highland Park Year Old Scotch,parts gooseberry wine,part red fruit tea",<start> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <end>
1539,2cba6ec835,0b1c993152.jpg,"carrot,shredded,zucchini,shredded,handful cherry tomatoes,chopped in half,scallion,chopped,clove garlic,finely chopped,servings angel hair pasta,parmesan cheese,olive oil,butter,thyme,chopped",<start> olive oil onion finely chopped garlic cloves minced carrot peeled finely chopped red bell pepper finely chopped red bell pepper finely chopped red bell pepper finely chopped red bell pepper finely chopped red bell pepper finely chopped red bell pepper finely chopped garlic cloves minced minced garlic salt pepper <end>
1572,2d84b8bf24,095ad27d88.jpg,"Italian seasoned breadcrumbs,grated parmesan cheese,pepper,thinly zucchini,egg whites,lightly beaten,cooking spray",<start> butter softened eggs vanilla extract baking soda salt ground cinnamon ground nutmeg <end>
1594,2e35c22cc3,002cb46265.jpg,"pasta,butter,olive oil,garlic cloves,minced,cream,lemon zest,lemon juice,parmesan cheese,grated,basil leaves,coarsly sliced,parmesan cheese,pine nuts,toasted",<start> pasta butter olive oil garlic cloves minced salt pepper <end>
1601,2e5cb7a2bc,0078bf2c37.jpg,"organic wheat flour,baking powder,ground cinnamon,nutmeg,salt,wheat germ,butter,softened,light brown sugar,packed,sugar,eggs,vanilla extract,molasses,honey,rolled oats,raisins",<start> baking soda baking powder salt butter softened brown eggs vanilla extract rolled oats baking soda ground cinnamon ground nutmeg ground cloves ground cinnamon ground nutmeg baking soda baking powder salt <end>
1615,2ec67abc01,0a127bb7d3.jpg,"onions,roughly chopped,cloves garlic,roughly chopped,distilled vinegar,water,pounds pork neck bones,salt,ground black pepper",<start> olive oil onion chopped cloves garlic minced salt ground black pepper taste ground black pepper <end>
1618,2edd536de5,00b20a1579.jpg,"pound bok choy,vegetable oil,sesame oil,water,grated ginger root,cloves garlic,minced,oyster sauce,light soy sauce,brown sugar,crushed red pepper flakes",<start> olive oil onion chopped cloves garlic minced pound shrimp peeled deveined salt ground black pepper ground cinnamon ground nutmeg ground ginger ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground ginger ground cardamom ground cinnamon ground cloves ground cardamom ground cinnamon ground nutmeg ground ginger ground cloves ground cinnamon ground nutmeg <end>
1619,2ee2035f19,0f191e03f0.jpg,"Flour,Divided,Dry Roasted Peanuts,Salt,Baking Soda,Baking Powder,stick Butter,Unsalted,Creamy Peanut Butter,Dark Brown Sugar,Granulated Sugar,Egg,Vanilla Extract,Chocolate Chips,Sweetened Condensed Milk,Butter,Unsalted",<start> unsweetened cocoa powder baking soda baking soda salt unsalted butter softened brown egg vanilla extract chocolate chips peanut butter chocolate chips <end>
1629,2f2c2578e2,0cc61221c0.jpg,"fluid citrus burst hydrive energy drink,fluid camomile tea Double,fluid blueberry simple syrup,fluid lemon juice",<start> fluid <unk> <unk> <unk> drink fluid vodka fluid bottle fluid bottle fluid bottle fluid bottle fluid bottle fluid bottle <unk> <end>
1633,2f3e393ce0,02a36e30ef.jpg,"wine,tarragon,rosemary,thyme,vegetable oil,garlic,minced,chicken",<start> ground beef garlic powder onion powder dried oregano ground black pepper ground cinnamon ground nutmeg ground allspice ground nutmeg <end>
1660,2fda75330f,005a6aa244.jpg,"yellow cake mix,crushed pineapple,drained,sweetened condensed milk,Low Fat,flaked coconut,Cool Whip",<start> boneless skinless chicken breasts packages cream cheese softened cream cheese softened cream cheese softened eggs sour cream <end>
1664,301f561093,008c06cb6c.jpg,"cooking oil,onion,chopped,carrots,diced,ribs celery,diced,red bell pepper,diced,salt,water,chicken broth homemade stock,drained rinsed black beans,jalapeNo pepper,seeds ribs removed,minced,pound deli corned beef,crosswise thin strips,vinegar,chopped parsley",<start> olive oil onion finely chopped cloves garlic minced pound boneless skinless chicken breast halves pieces salt black pepper vegetable oil red wine vinegar lemon juice <end>
1733,31c2a01b30,000e59de9a.jpg,"butter margarine,softened,DI GIORNO Shredded Romano Cheese,clove garlic,minced,chopped rosemary,loaf French Italian bread,in lengthwise",<start> active dry yeast warm degrees degrees salt active dry yeast <end>
1756,3258c71c85,00571aea17.jpg,"pulled pork,chopped,bunch cilantro,chopped,green olives,coarsely chopped,yellow onion,chopped,canola oil,mojo marinade,chicken broth,beans,drained,candiced potatoes,drained,cooked rice,avocado,chopped",<start> olive oil onion chopped cloves garlic minced ground ginger ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin chili powder ground cumin salt ground black pepper taste olive oil <end>
1764,32a9aae898,00d6661061.jpg,"slices bread,butter,melted,raisins,eggs,beaten,milk,sugar,ground cinnamon,vanilla extract",<start> butter softened brown egg vanilla extract baking soda salt ground cinnamon ground nutmeg vanilla extract <end>
1768,32b027526d,0076e996e7.jpg,"pound Italian sausage,cans tomato sauce,diced tomatoes,bay leaves,Italian seasoning,garlic powder,dried basil,dried oregano,salt pepper taste,spaghetti",<start> olive oil onion chopped cloves garlic minced pound lean ground beef salt ground black pepper taste pound ground beef onion chopped tomato sauce tomato paste dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried thyme dried marjoram <end>
1784,32fc3b0beb,06bf78b2a5.jpg,"flour,shortening,salt,egg,cold water,distilled vinegar",<start> baking powder baking soda salt unsalted butter melted cooled egg milk vanilla extract <end>
1791,3336a18b6e,0974a159c0.jpg,"fish,coriander leaves,spring onions thinly,chili long,deseeded thinly,cm ginger thin,garlic clove,caster sugar,soy sauce,peanut oil,sesame oil",<start> olive oil onion finely chopped garlic cloves finely chopped curry powder curry powder curry powder curry powder curry powder curry powder curry powder curry powder curry powder chicken broth <end>
1794,334f79fc96,021c76a10a.jpg,"slices thick bacon,cooked crisp,crumbled,kidney beans,drained,lima beans,liquid reserved,pinto beans,liquid reserved,navy beans,liquid reserved,onion,chopped,chili sauce,brown sugar,Worcestershire sauce",<start> olive oil onion chopped cloves garlic minced ground cumin ground coriander salt ground black pepper <end>
1817,33f758b387,00d09f9f6c.jpg,"Grand Marnier,prepared hot cocoa,cinnamon stick,stir",<start> grand marnier hot cocoa powder coffee cocoa powder hot cocoa powder <end>
1838,34743eb206,090f06b374.jpg,"rice,such as Spanish arborio,warm water,zucchini pounds,ends trimmed,olive oil,sweet onion,coarsely chopped,fennel bulb,cored coarsely chopped,Aleppo pepper pinch crushed red pepper,drained diced tomatoes,roasted,salted almonds,finely chopped,finely chopped dill,finely chopped parsley,finely chopped mint,Salt freshly ground pepper,brined grape leaves,drained rinsed,chicken",<start> unsweetened cocoa powder baking soda salt milk unsalted butter melted cooled egg yolk pure vanilla extract powdered <end>
1840,3485214191,0e22de3acf.jpg,"turkey,turkey liver,turkey,turkey,carrots,tomatoes one,onions,parsley roots,celery root,green peas,kale,salt,black pepper,flour,lard,dill,sour cream,liters water",<start> olive oil onion finely chopped cloves garlic minced chicken broth chicken broth chicken broth heavy cream <end>
1851,34e55398e3,0f5bff30b7.jpg,"popcorn,popped,candy corn,peanuts,salted chopped,butter margarine,miniature marshmallows,drops food coloring red,as needed,drops food coloring yellow,as needed,sticks licorice black red,thirds",<start> butter softened brown packed baking soda baking powder salt egg whites <end>
1862,353f412da2,0500d5c471.jpg,"milk,sugar,biscuit mix,butter,at room temperature pieces,eggs,flaked coconut",<start> butter softened milk eggs vanilla extract baking powder salt milk <end>
1869,3580deffd9,0482b8c4ac.jpg,"prepared peaches,chopped red onions,jalapeno peppers,red pepper,chopped,loosely finely chopped cilantro,vinegar,honey,clove garlic,finely chopped,ground cumin,cayenne pepper",<start> olive oil onion chopped cloves garlic minced pound lean ground beef chopped onion chopped green bell pepper chopped red bell pepper chopped green bell pepper chopped onion chopped garlic cloves minced tomato paste dried oregano dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil <end>
1871,3599abb3b0,053ac233e6.jpg,"mozzarella cheese,egg,bread crumb,flour,basils leaves,tsp crushed black peper,oil nough fry",<start> butter softened eggs vanilla extract baking soda baking powder salt <end>
1889,3637750bb6,06dcc7ca6e.jpg,"flour,salt,sugar,brown sugar,baking soda,margarine,eggs,beaten,vanilla,chocolate chips",<start> butter softened brown eggs vanilla extract baking soda salt chocolate chips <end>
1925,3738639db5,0873587ab9.jpg,"vanilla ice cream soy ice cream,milk soymilk,mint extract,drops green food coloring",<start> vanilla ice cream ice cream ice cream cheese softened eggs vanilla extract <end>
1934,3786bef004,05f4f4201c.jpg,"boneless skinless chicken breasts,pieces,water,VELVEETA CHEESY SKILLETS Dinner Kit Chicken Broccoli,round buttery crushed",<start> olive oil onion chopped cloves garlic minced salt ground black pepper chicken broth chicken broth chicken broth chopped parsley <end>
